도로명주소,Latitude,Longitude
서울특별시 광진구 광나루로36길 47,37.5426305,127.0868252
서울특별시 광진구 천호대로 664,37.5503951,127.087338
서울특별시 광진구 뚝섬로41길 33,37.5353581,127.0742189
서울특별시 광진구 용마산로22길 76,37.5657945,127.0888258
서울특별시 광진구 워커힐로 32,37.5445232,127.0982459
서울특별시 광진구 자양강변길 73,37.5333006,127.0634554
서울특별시 광진구 용마산로22길 26,37.5635074,127.0907178
서울특별시 광진구 광나루로30길 80,37.5432471,127.0790684
서울특별시 광진구 뚝섬로64길 45,37.5317861,127.089619
서울특별시 광진구 광장로1길 1,37.5471489,127.1017204
서울특별시 광진구 자양로3길 7,37.5302215,127.0860522
서울특별시 광진구 아차산로70길 17-62,37.5402935,127.101623
서울특별시 광진구 자양로 145-1,37.5425408,127.0737253
서울특별시 광진구 군자로 114,37.5507345,127.0741314
서울특별시 광진구 자양로4길 63,37.5329367,127.0895315
서울특별시 광진구 동일로72길 43,37.5658818,127.0798086
서울특별시 광진구 긴고랑로13길 59,37.5651496,127.0825086
서울특별시 광진구 군자로 74,37.5499417,127.071995
서울특별시 광진구 아차산로44길 26,37.5368302,127.0795451
서울특별시 광진구 천호대로113길 10,37.5579653,127.084207
서울특별시 광진구 용마산로22길 82,37.5668387,127.0885593
서울특별시 광진구 뚝섬로64길 71,37.5307405,127.0897285
서울특별시 광진구 뚝섬로46길 64,37.5300737,127.0755326
서울특별시 광진구 능동로 42,37.5345981,127.0691877
서울특별시 광진구 뚝섬로56길 7,37.5311675,127.0830972
서울특별시 광진구 뚝섬로 561,37.5347052,127.0721208
서울특별시 광진구 영화사로 111,37.5533804,127.0988236
서울특별시 광진구 광나루로30길 49,37.5427858,127.0803624
서울특별시 광진구 구의강변로 69,37.536883,127.0923038
서울특별시 광진구 자양로40길 41,37.5476007,127.0912271
서울특별시 광진구 광장로1길 27,37.5482256,127.1013147
서울특별시 광진구 아차산로70길 35,37.5408123,127.1009358
서울특별시 광진구 천호대로130길 58,37.5503951,127.087338
서울특별시 광진구 광장로1가길 13-10,37.547118,127.1011447
서울특별시 광진구 자양로35길 13,37.5471682,127.0862754
서울특별시 광진구 강변역로 18,37.5373572,127.0917029
서울특별시 광진구 능동로 120,37.5425408,127.0737253
서울특별시 광진구 뚝섬로37길 28,37.5351667,127.0722132
서울특별시 광진구 자양로3가길 31,37.529343,127.0862371
서울특별시 광진구 아차산로70길 17-16,37.5412173,127.1021275
,,
